height,weight
178.8,80.1
160.0,61.5
183.1,76.9
153.9,48.3
169.0,71.4
172.7,72.3
151.2,55.4
174.5,78.8
159.9,54.7
150.3,48.9
186.3,82.2
157.0,55.0
193.1,88.2
154.4,57.7
188.1,79.1
182.8,76.0
174.1,76.8
174.8,72.9
187.3,78.4
176.0,69.2
181.7,82.2
163.0,64.4
153.6,55.8
162.5,65.0
178.6,74.3
159.4,63.4
162.0,68.0
177.4,73.5
157.7,58.7
167.1,64.7
194.5,87.1
180.8,74.7
187.9,85.2
151.4,50.8
164.2,64.3
192.4,91.3
189.4,83.7
167.8,73.0
191.2,84.5
161.1,62.7
175.3,73.6
190.4,92.1
168.0,70.5
172.9,85.6
154.1,57.8
178.2,77.0
185.6,81.5
167.2,67.8
194.8,80.1
188.7,83.5
150.5,51.8
174.2,67.1
162.0,61.5
169.6,67.7
170.4,77.7
161.9,60.3
172.5,75.5
189.2,93.8
163.4,60.4
156.9,54.2
