epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.53723,1.54152,5.52481,0.02289,0,0,0,0,2.82789,6.28644,0.03482,0,0,0
2,9.21847,1.41619,5.5642,0.01903,0,0,0,0,2.78404,6.28123,0.03413,1.17822e-06,1.17822e-06,1.17822e-06
3,9.92823,1.62329,5.45072,0.03749,0,0,0,0,2.74287,6.2708,0.03347,2.33288e-06,2.33288e-06,2.33288e-06
4,10.6064,1.65824,5.46298,0.03907,0,0,0,0,2.65071,6.24845,0.0309,3.46397e-06,3.46397e-06,3.46397e-06
5,11.3104,1.61386,5.44001,0.02895,0,0,0,0,2.58182,6.23707,0.03028,4.5715e-06,4.5715e-06,4.5715e-06
6,11.9893,1.63563,5.53004,0.02418,0,0,0,0,2.59727,6.23913,0.0307,5.65548e-06,5.65548e-06,5.65548e-06
7,12.6411,1.64356,5.547,0.02057,0,0,0,0,2.64034,6.2444,0.03149,6.71588e-06,6.71588e-06,6.71588e-06
8,13.2939,1.74493,5.6377,0.02353,0,0,0,0,2.68934,6.25417,0.03199,7.75273e-06,7.75273e-06,7.75273e-06
9,13.9626,1.55498,5.39807,0.02302,0,0,0,0,2.70536,6.25391,0.03178,8.76602e-06,8.76602e-06,8.76602e-06
10,14.6544,1.70428,5.67885,0.01974,0,0,0,0,2.67538,6.2395,0.03048,9.75574e-06,9.75574e-06,9.75574e-06
11,15.3301,1.71701,5.55528,0.02317,0,0,0,0,2.59247,6.21045,0.02762,1.07219e-05,1.07219e-05,1.07219e-05
12,16.0913,1.33113,5.62153,0.01562,0,0,0,0,2.60459,6.21264,0.02738,1.16645e-05,1.16645e-05,1.16645e-05
13,16.7569,1.57353,5.69851,0.02673,0,0,0,0,2.62628,6.21811,0.02719,1.25835e-05,1.25835e-05,1.25835e-05
14,17.4497,1.85414,5.50122,0.0269,0,0,0,0,2.67528,6.22583,0.02755,1.3479e-05,1.3479e-05,1.3479e-05
15,18.0637,1.61677,5.49827,0.02338,0,0,0,0,2.67813,6.22375,0.02758,1.43509e-05,1.43509e-05,1.43509e-05
16,18.7059,1.51593,5.409,0.03517,0,0,0,0,2.70755,6.22938,0.02772,1.51993e-05,1.51993e-05,1.51993e-05
17,19.3552,1.64932,5.41671,0.02822,0,0,0,0,2.71531,6.22884,0.02784,1.60241e-05,1.60241e-05,1.60241e-05
18,19.9977,1.74105,5.49827,0.02435,0,0,0,0,2.71531,6.22884,0.02784,1.68253e-05,1.68253e-05,1.68253e-05
19,20.7301,1.86424,5.54735,0.02417,0,0,0,0,2.75036,6.2351,0.0286,1.7603e-05,1.7603e-05,1.7603e-05
20,21.3569,1.50502,5.67279,0.02087,0,0,0,0,2.75036,6.2351,0.0286,1.83571e-05,1.83571e-05,1.83571e-05
21,22.0627,1.52701,5.33863,0.02703,0,0,0,0,2.66209,6.20867,0.02684,1.90876e-05,1.90876e-05,1.90876e-05
22,22.7202,1.35413,5.51001,0.02172,0,0,0,0,2.66209,6.20867,0.02684,1.97946e-05,1.97946e-05,1.97946e-05
23,23.4738,1.78728,5.61081,0.02347,0,0,0,0,2.62148,6.2015,0.02626,2.0478e-05,2.0478e-05,2.0478e-05
24,24.1021,1.89975,5.46515,0.02813,0,0,0,0,2.62148,6.2015,0.02626,2.11379e-05,2.11379e-05,2.11379e-05
25,24.8331,1.48702,5.47248,0.02668,0,0,0,0,2.65757,6.21053,0.02674,2.17741e-05,2.17741e-05,2.17741e-05
26,25.4795,1.64875,5.57272,0.0248,0,0,0,0,2.65757,6.21053,0.02674,2.23869e-05,2.23869e-05,2.23869e-05
27,26.184,1.73983,5.52012,0.02017,0,0,0,0,2.65646,6.21353,0.02674,2.2976e-05,2.2976e-05,2.2976e-05
28,26.8892,1.57453,5.56434,0.02462,0,0,0,0,2.65646,6.21353,0.02674,2.35417e-05,2.35417e-05,2.35417e-05
29,27.6244,2.16509,5.6511,0.02809,0,0,0,0,2.62923,6.21098,0.02648,2.40837e-05,2.40837e-05,2.40837e-05
30,28.218,1.27618,5.50328,0.01583,0,0,0,0,2.62923,6.21098,0.02648,2.46022e-05,2.46022e-05,2.46022e-05
31,28.8828,1.60816,5.45535,0.02099,0,0,0,0,2.54265,6.15587,0.02512,2.50971e-05,2.50971e-05,2.50971e-05
32,29.4365,1.91798,5.66429,0.02418,0,0,0,0,2.54265,6.15587,0.02512,2.55685e-05,2.55685e-05,2.55685e-05
33,30.0296,1.65046,5.50935,0.02594,0,0,0,0,2.51599,6.15398,0.02478,2.60163e-05,2.60163e-05,2.60163e-05
34,30.7264,1.39536,5.40651,0.02691,0,0,0,0,2.51599,6.15398,0.02478,2.64405e-05,2.64405e-05,2.64405e-05
