epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8057,1.0186,4.04309,0.00787,0.00232,0.2776,0.00105,0.00043,0.43054,4.40168,0.0037,0.00017148,0.00017148,0.00017148
2,32.1825,0.70528,3.18979,0.0048,0.00321,0.37525,0.04915,0.02702,0.51427,4.28958,0.00467,0.000345461,0.000345461,0.000345461
3,36.6168,0.71701,2.50753,0.00511,0.0069,0.86396,0.54565,0.44316,0.49681,3.94429,0.00422,0.000507181,0.000507181,0.000507181
4,40.7694,0.75538,2.09508,0.00532,0.66923,0.58519,0.62922,0.53013,0.56314,3.54523,0.00499,0.00065664,0.00065664,0.00065664
5,44.8803,0.69261,1.73627,0.00502,0.82445,0.41637,0.60081,0.53077,0.57061,3.33628,0.00491,0.000793838,0.000793838,0.000793838
6,49.1307,0.71094,1.62377,0.00509,0.43807,0.83442,0.75679,0.65619,0.65432,3.162,0.00574,0.000918776,0.000918776,0.000918776
7,53.1557,0.67926,1.46738,0.00484,0.87728,0.37383,0.8235,0.69382,0.72001,2.84958,0.00611,0.00103145,0.00103145,0.00103145
8,57.2566,0.64843,1.43959,0.00451,0.76562,0.80561,0.87114,0.74451,0.70213,2.02787,0.00623,0.0010989,0.0010989,0.0010989
9,61.2271,0.66088,1.36027,0.00447,0.73409,0.73773,0.83743,0.76059,0.57391,1.97797,0.0049,0.00105174,0.00105174,0.00105174
10,65.2315,0.62133,1.27491,0.00418,0.80608,0.83462,0.91021,0.8,0.65595,1.65853,0.00573,0.00100459,0.00100459,0.00100459
11,69.2239,0.62758,1.1734,0.00427,0.87639,0.81806,0.92767,0.82307,0.60679,1.40867,0.00538,0.00095743,0.00095743,0.00095743
12,73.4722,0.66096,1.24659,0.00484,0.86621,0.86757,0.94471,0.85218,0.54555,1.35179,0.0047,0.000910273,0.000910273,0.000910273
13,77.666,0.58961,1.10053,0.00429,0.87733,0.89587,0.95312,0.88139,0.45725,1.21248,0.00395,0.000863116,0.000863116,0.000863116
14,81.8911,0.59349,1.08346,0.00422,0.86049,0.8776,0.94609,0.85089,0.58637,1.12179,0.00503,0.000815959,0.000815959,0.000815959
15,85.9395,0.60593,1.04034,0.00419,0.7931,0.90755,0.95006,0.8784,0.51159,1.09434,0.0045,0.000768802,0.000768802,0.000768802
16,90.1535,0.58205,1.00579,0.00387,0.92336,0.84658,0.95044,0.86376,0.49789,1.06351,0.00424,0.000721645,0.000721645,0.000721645
17,94.2494,0.53432,0.95704,0.0038,0.94726,0.80783,0.96028,0.90619,0.37231,1.00854,0.00316,0.000674488,0.000674488,0.000674488
18,98.4328,0.4996,0.90042,0.00352,0.92377,0.82436,0.95241,0.85835,0.55507,1.03085,0.0048,0.000627331,0.000627331,0.000627331
19,102.504,0.4962,0.83356,0.0035,0.91839,0.90518,0.95874,0.88179,0.5014,0.97845,0.00422,0.000580174,0.000580174,0.000580174
20,106.933,0.50446,0.85175,0.00359,0.88022,0.94104,0.96169,0.88984,0.43903,0.94422,0.00371,0.000533017,0.000533017,0.000533017
21,110.859,0.3873,0.88552,0.00321,0.90802,0.90094,0.96514,0.91108,0.42216,0.96098,0.00359,0.00048586,0.00048586,0.00048586
22,114.783,0.39544,0.88731,0.00344,0.91715,0.90009,0.96482,0.90781,0.42517,0.98059,0.0036,0.000438703,0.000438703,0.000438703
23,118.709,0.36137,0.84912,0.00301,0.91473,0.89551,0.96321,0.9172,0.41304,0.92156,0.00349,0.000391546,0.000391546,0.000391546
24,122.773,0.35022,0.83962,0.00315,0.92305,0.90258,0.96743,0.91221,0.41375,0.86969,0.00357,0.000344389,0.000344389,0.000344389
25,126.72,0.36867,0.81127,0.00321,0.94501,0.88618,0.96867,0.93374,0.35986,0.84952,0.00305,0.000297232,0.000297232,0.000297232
26,130.663,0.37846,0.83134,0.00323,0.91474,0.90794,0.96831,0.91562,0.42575,0.84866,0.00356,0.000250075,0.000250075,0.000250075
27,134.557,0.36658,0.81999,0.00303,0.91592,0.9196,0.96794,0.92523,0.36007,0.82104,0.00302,0.000202918,0.000202918,0.000202918
28,138.495,0.35455,0.77341,0.003,0.92829,0.90988,0.96934,0.92561,0.38731,0.81028,0.00329,0.000155761,0.000155761,0.000155761
29,142.331,0.36483,0.78132,0.00322,0.93097,0.90422,0.9699,0.92585,0.36062,0.79705,0.00303,0.000108604,0.000108604,0.000108604
30,146.078,0.34844,0.78295,0.003,0.92947,0.90613,0.97047,0.93003,0.34787,0.78893,0.00292,6.1447e-05,6.1447e-05,6.1447e-05
